HBRE3,HBR REALTY EMPREENDIMENTOS IMOBILIARIOS,8.8,247155.5,68
EMBR3,EMBRAER,24.82,221867497.2,59
VLID3,VALID,8.6,2870087.9,57
LAND3,Terra Santa Propriedades Agricolas S.A.,22.48,936455.7,52
HAPV3,HAPVIDA,10.38,217272841.8,51
ARML3,ARMAC LOCAÇÃO. LOGÍSTICA E SERVIÇOS S.A.,26.19,21441398.45,45
SEQL3,SEQUOIA LOGISTICA E TRANSPORTES S.A,14.14,37439825.9,37
SQIA3,SINQIA,16.53,16275640.8,34
NTCO3,NATURA &CO HOLDING S.A.,25.43,210652674.15,33
MOSI3,Mosaico Tecnologia ao Consumidor S.A.,8.57,7178294.55,32
GNDI3,NOTRE DAME INTERMEDICA,60.35,256553029.4,30
DMVF3,D1000 VAREJO FARMA PARTICIPAÇÕES S.A.,4.21,416792.7,28
SOMA3,GRUPO DE MODA SOMA S.A.,12.73,47098026.4,27
AMER3,AMERICANAS S.A,31.58,201857311.45,23
CEAB3,CEA MODAS,6.15,15893177.8,17
DASA3,DASA,33.74,8566448.4,16
RDNI3,RNI NEGÓCIOS IMOBILIÁRIOS,10.2,251092.55,14
OPCT3,OCEANPACT SERVICOS MARITIMOS S.A.,3.0,3108492.95,13
AESB3,AES BRASIL ENERGIA S.A.,11.07,14453920.5,10
RCSL3,RECRUSUL,5.69,19577534.2,7
RCSL4,RECRUSUL,1.42,1331010.25,5
